Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,PRA,PR,PA,RA,SB
70,63,3/22/2024,27-150,BOS,@,DET,W (+27),1,33:08:00,13,19,0.684,3,8,0.375,4,7,0.571,0,4,4,0,4,0,4,1,33,24.5,9,37,37,33,4,4
72,64,3/25/2024,27-153,BOS,@,ATL,L (-2),1,37:01:00,10,22,0.455,2,7,0.286,2,4,0.5,2,2,4,1,2,0,1,3,24,14.3,-2,29,28,25,5,2
73,65,3/28/2024,27-156,BOS,@,ATL,L (-1),1,38:49:00,9,17,0.529,0,3,0,0,0,,0,1,1,4,2,2,3,3,18,12,8,23,19,22,5,4
74,66,3/30/2024,27-158,BOS,@,NOP,W (+12),1,35:00:00,6,16,0.375,3,4,0.75,2,2,1,2,5,7,6,1,1,2,2,17,14.2,4,30,24,23,13,2
76,67,4/3/2024,27-162,BOS,,OKC,W (+35),1,32:49:00,9,20,0.45,3,9,0.333,2,3,0.667,1,6,7,4,1,2,5,4,23,13.3,8,34,30,27,11,3
78,68,4/7/2024,27-166,BOS,,POR,W (+17),1,29:50:00,10,17,0.588,3,5,0.6,3,3,1,0,4,4,2,1,1,2,2,26,19.6,6,32,30,28,6,2
79,69,4/9/2024,27-168,BOS,@,MIL,L (-13),1,35:32:00,7,19,0.368,0,6,0,0,0,,4,6,10,3,4,0,5,3,14,8,-13,27,24,17,13,4
80,70,4/11/2024,27-170,BOS,,NYK,L (-9),1,28:38:00,6,15,0.4,1,5,0.2,2,3,0.667,1,1,2,1,0,2,3,3,15,5.4,-29,18,17,16,3,2
93,1,4/15/2023,playoff,BOS,,ATL,W (+13),1,37:01:00,12,23,0.522,2,6,0.333,3,3,1,4,8,12,3,1,0,6,3,29,18.8,11,44,41,32,15,1
94,2,4/18/2023,playoff,BOS,,ATL,W (+13),1,35:57:00,7,14,0.5,2,4,0.5,2,4,0.5,1,2,3,2,3,2,4,0,18,13.3,5,23,21,20,5,5
95,3,4/21/2023,playoff,BOS,@,ATL,L (-8),1,33:19:00,7,15,0.467,0,4,0,1,2,0.5,0,1,1,3,3,0,3,5,15,7.3,-4,19,16,18,4,3
