Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/25/2023,24-191,BRK,,CLE,L (-1),1,28:17:00,3,10,0.3,0,0,,1,1,1,4,3,7,4,0,3,0,1,7,9.4,-12
2,,10/27/2023,24-193,BRK,@,DAL,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
3,,10/30/2023,24-196,BRK,@,CHO,W (+12),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
4,,11/1/2023,24-198,BRK,@,MIA,W (+4),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
5,,11/3/2023,24-200,BRK,@,CHI,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
6,,11/4/2023,24-201,BRK,,BOS,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
7,,11/6/2023,24-203,BRK,,MIL,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
8,,11/8/2023,24-205,BRK,,LAC,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
9,,11/10/2023,24-207,BRK,@,BOS,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
10,2,11/12/2023,24-209,BRK,,WAS,W (+8),1,27:53:00,5,7,0.714,0,0,,0,0,,4,9,13,2,0,4,0,2,10,16,8
11,3,11/14/2023,24-211,BRK,,ORL,W (+20),1,20:50,3,5,0.6,0,0,,2,2,1,2,4,6,0,1,2,1,4,8,8.1,20
12,4,11/16/2023,24-213,BRK,@,MIA,L (-7),1,25:45:00,7,7,1,0,0,,2,4,0.5,1,5,6,2,1,3,1,2,16,18,-7
13,5,11/19/2023,24-216,BRK,,PHI,L (-22),1,22:39,5,6,0.833,0,0,,0,3,0,0,9,9,1,0,1,2,3,10,7.5,-17
14,6,11/22/2023,24-219,BRK,@,ATL,L (-2),1,36:39:00,10,15,0.667,0,0,,2,2,1,7,4,11,3,1,3,2,6,22,22.4,-6
15,7,11/25/2023,24-222,BRK,,MIA,W (+15),1,24:04:00,5,7,0.714,0,0,,3,4,0.75,2,4,6,0,2,3,0,1,13,16,3
16,,11/26/2023,24-223,BRK,,CHI,W (+9),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
17,8,11/28/2023,24-225,BRK,,TOR,W (+12),1,31:34:00,7,10,0.7,0,0,,1,4,0.25,2,6,8,0,0,4,0,1,15,15.2,20
18,9,11/30/2023,24-227,BRK,,CHO,L (-1),1,29:29:00,9,13,0.692,0,0,,2,2,1,9,5,14,2,1,2,1,1,20,24.7,-7
19,10,12/2/2023,24-229,BRK,,ORL,W (+28),1,23:50,3,4,0.75,0,0,,0,0,,4,3,7,1,0,1,1,4,6,6.9,3
20,11,12/6/2023,24-233,BRK,@,ATL,W (+1),1,28:13:00,1,5,0.2,0,0,,2,4,0.5,2,8,10,4,1,1,0,1,4,8,-5
21,12,12/8/2023,24-235,BRK,,WAS,W (+27),1,26:24:00,6,8,0.75,0,0,,1,2,0.5,4,11,15,0,0,2,1,3,13,14.7,15
22,13,12/11/2023,24-238,BRK,@,SAC,L (-13),1,26:00:00,3,6,0.5,0,0,,2,2,1,4,6,10,0,0,3,0,2,8,10.9,-24
23,14,12/13/2023,24-240,BRK,@,PHO,W (+4),1,33:23:00,6,10,0.6,1,1,1,1,2,0.5,0,7,7,1,0,1,0,4,14,10.9,-6
24,15,12/14/2023,24-241,BRK,@,DEN,L (-23),1,17:08,5,9,0.556,0,0,,0,0,,1,8,9,2,0,0,2,5,10,6.2,-16
25,16,12/16/2023,24-243,BRK,@,GSW,L (-4),1,33:06:00,8,12,0.667,0,0,,3,3,1,5,7,12,1,0,4,2,1,19,20.5,-5
26,17,12/18/2023,24-245,BRK,@,UTA,L (-17),1,26:21:00,4,5,0.8,0,0,,3,4,0.75,2,5,7,0,0,4,3,3,11,10.2,-18
27,18,12/20/2023,24-247,BRK,,NYK,L (-19),1,25:42:00,3,5,0.6,0,0,,0,0,,4,4,8,2,0,4,0,5,6,9.9,-21
28,19,12/22/2023,24-249,BRK,,DEN,L (-5),1,28:11:00,4,8,0.5,0,0,,2,4,0.5,1,15,16,6,0,3,1,1,10,15.3,-10
29,20,12/23/2023,24-250,BRK,,DET,W (+11),1,29:33:00,4,8,0.5,0,0,,3,4,0.75,2,5,7,2,2,2,2,2,11,11.5,5
30,21,12/26/2023,24-253,BRK,@,DET,W (+6),1,26:22:00,5,5,1,0,0,,1,3,0.333,2,9,11,2,0,3,0,2,11,15.5,-9
31,,12/27/2023,24-254,BRK,,MIL,L (-22),Inactive,,,,,,,,,,,,,,,,,,,,,
32,22,12/29/2023,24-256,BRK,@,WAS,L (-6),1,29:34:00,4,10,0.4,0,0,,3,5,0.6,4,8,12,2,0,3,1,0,11,12.5,7
33,23,12/31/2023,24-258,BRK,@,OKC,L (-16),1,36:33:00,5,11,0.455,0,0,,5,10,0.5,6,10,16,5,1,1,0,2,15,18.9,-21
34,24,1/2/2024,24-260,BRK,@,NOP,L (-27),1,22:38,4,7,0.571,0,0,,0,0,,0,3,3,1,0,2,0,1,8,7.3,-19
35,25,1/3/2024,24-261,BRK,@,HOU,L (-11),1,27:42:00,6,8,0.75,0,0,,0,0,,5,8,13,0,1,2,1,5,12,14.1,-8
36,26,1/5/2024,24-263,BRK,,OKC,W (+9),1,33:55:00,8,11,0.727,0,0,,7,10,0.7,8,5,13,3,1,0,3,1,23,24.1,5
37,27,1/7/2024,24-265,BRK,,POR,L (-7),1,36:15:00,8,8,1,0,0,,0,2,0,2,9,11,3,2,4,5,5,16,16.8,-2
38,28,1/11/2024,24-269,BRK,@,CLE,L (-9),1,33:16:00,6,9,0.667,0,0,,1,2,0.5,3,8,11,1,1,0,4,3,13,9.7,0
39,29,1/15/2024,24-273,BRK,,MIA,L (-1),1,42:35:00,4,9,0.444,0,0,,1,1,1,2,11,13,2,0,2,1,1,9,10.4,-4
40,30,1/17/2024,24-275,BRK,@,POR,L (-2),1,31:49:00,4,5,0.8,0,0,,4,10,0.4,2,10,12,0,3,1,1,3,12,13.6,-4
41,31,1/19/2024,24-277,BRK,@,LAL,W (+18),1,32:43:00,11,16,0.688,0,0,,0,0,,2,12,14,1,1,2,0,3,22,22.1,8
42,32,1/21/2024,24-279,BRK,@,LAC,L (-11),1,31:05:00,7,10,0.7,0,1,0,2,4,0.5,2,4,6,3,1,2,0,5,16,16.1,-9
43,33,1/23/2024,24-281,BRK,,NYK,L (-5),1,38:42:00,4,9,0.444,0,0,,0,0,,6,11,17,1,2,1,3,1,8,10.8,-6
44,34,1/25/2024,24-283,BRK,,MIN,L (-2),1,38:45:00,8,10,0.8,0,0,,0,0,,2,9,11,4,2,2,0,2,16,21.7,2
45,35,1/27/2024,24-285,BRK,,HOU,W (+2),1,37:06:00,5,7,0.714,0,1,0,0,4,0,1,12,13,4,1,1,3,5,10,9.3,-7
46,36,1/29/2024,24-287,BRK,,UTA,W (+33),1,26:15:00,5,11,0.455,0,0,,1,1,1,4,6,10,2,1,3,2,1,11,12,2
47,37,1/31/2024,24-289,BRK,,PHO,L (-16),1,30:16:00,6,12,0.5,0,0,,0,0,,1,8,9,4,1,0,1,3,12,10.7,-11
48,38,2/3/2024,24-292,BRK,@,PHI,W (+15),1,25:36:00,4,4,1,0,0,,4,6,0.667,3,12,15,4,0,4,1,1,12,19.9,17
49,39,2/5/2024,24-294,BRK,,GSW,L (-11),1,31:56:00,7,9,0.778,0,0,,1,2,0.5,2,3,5,1,0,7,0,1,15,18.6,-8
50,40,2/6/2024,24-295,BRK,,DAL,L (-12),1,34:36:00,3,9,0.333,0,0,,3,3,1,2,9,11,2,0,5,2,3,9,9.7,-15
51,41,2/8/2024,24-297,BRK,,CLE,L (-23),1,25:08:00,3,10,0.3,0,0,,0,0,,2,5,7,1,0,1,2,4,6,0.9,-18
52,42,2/10/2024,24-299,BRK,,SAS,W (+20),1,27:02:00,10,15,0.667,0,1,0,0,0,,3,8,11,0,1,2,0,3,20,19.2,12
53,43,2/13/2024,24-302,BRK,,BOS,L (-8),1,28:29:00,4,5,0.8,0,0,,2,4,0.5,2,6,8,1,0,2,1,4,10,10,-21
54,44,2/14/2024,24-303,BRK,@,BOS,L (-50),1,20:43,3,6,0.5,0,0,,0,0,,2,6,8,3,0,0,1,0,6,7.3,-26
55,45,2/22/2024,24-311,BRK,@,TOR,L (-28),1,32:01:00,3,5,0.6,0,0,,0,0,,2,8,10,3,2,0,2,2,6,8.8,-24
56,46,2/24/2024,24-313,BRK,@,MIN,L (-15),1,29:59:00,6,12,0.5,0,0,,0,0,,3,4,7,3,0,1,1,2,12,10.3,-7
57,47,2/26/2024,24-315,BRK,@,MEM,W (+25),1,21:18,5,5,1,0,0,,0,0,,0,4,4,3,1,3,1,4,10,12.3,13
58,48,2/27/2024,24-316,BRK,@,ORL,L (-27),1,27:18:00,4,6,0.667,0,0,,2,4,0.5,2,3,5,1,0,0,2,3,10,6.4,-19
59,49,2/29/2024,24-318,BRK,,ATL,W (+27),1,28:09:00,1,6,0.167,0,0,,3,4,0.75,2,6,8,2,0,1,0,1,5,5.7,12
60,50,3/2/2024,24-320,BRK,,ATL,W (+12),1,33:49:00,6,9,0.667,0,0,,0,2,0,1,12,13,4,2,2,2,2,12,15,13
61,51,3/4/2024,24-322,BRK,,MEM,L (-4),1,33:27:00,8,10,0.8,0,0,,5,8,0.625,1,5,6,2,0,1,1,2,21,18.5,-4
62,52,3/5/2024,24-323,BRK,,PHI,W (+5),1,32:38:00,6,8,0.75,0,0,,5,6,0.833,0,10,10,2,0,4,2,3,17,17.4,3
63,53,3/7/2024,24-325,BRK,@,DET,L (-6),1,34:13:00,5,8,0.625,0,0,,5,7,0.714,1,9,10,2,1,3,1,2,15,16.7,3
64,54,3/9/2024,24-327,BRK,@,CHO,L (-11),1,34:23:00,6,10,0.6,0,0,,2,3,0.667,4,6,10,4,0,2,3,3,14,13.6,-7
65,55,3/10/2024,24-328,BRK,@,CLE,W (+19),1,27:48:00,7,10,0.7,0,0,,2,2,1,2,8,10,3,1,0,1,3,16,16.5,0
66,56,3/13/2024,24-331,BRK,@,ORL,L (-8),1,29:57:00,5,8,0.625,0,0,,0,0,,2,3,5,5,0,2,1,2,10,11.8,-4
67,57,3/16/2024,24-334,BRK,@,IND,L (-21),1,25:10:00,4,6,0.667,0,0,,1,3,0.333,2,8,10,1,1,2,0,2,9,11.7,-8
68,58,3/17/2024,24-335,BRK,@,SAS,L (-7),1,32:21:00,5,9,0.556,0,1,0,1,3,0.333,3,11,14,2,1,1,1,4,11,11.8,-9
69,59,3/19/2024,24-337,BRK,,NOP,L (-13),1,21:57,3,3,1,0,0,,2,2,1,2,4,6,2,0,1,1,3,8,9.6,-10
70,60,3/21/2024,24-339,BRK,@,MIL,L (-7),1,34:02:00,9,12,0.75,0,0,,4,6,0.667,4,5,9,1,2,0,1,3,22,21.2,-17
71,61,3/23/2024,24-341,BRK,@,NYK,L (-12),1,30:56:00,2,5,0.4,0,0,,1,2,0.5,3,6,9,2,1,2,1,0,5,8.6,-8
72,62,3/25/2024,24-343,BRK,@,TOR,W (+8),1,35:15:00,4,5,0.8,0,0,,1,2,0.5,5,11,16,2,0,1,3,4,9,11,14
73,63,3/27/2024,24-345,BRK,@,WAS,W (+3),1,37:29:00,8,11,0.727,0,0,,1,1,1,4,9,13,1,2,3,1,3,17,20.6,-8
74,64,3/29/2024,24-347,BRK,,CHI,W (+17),1,36:45:00,4,12,0.333,0,0,,3,10,0.3,6,7,13,4,0,2,1,1,11,10.5,14
75,65,3/31/2024,24-349,BRK,,LAL,L (-12),1,26:16:00,5,7,0.714,0,0,,0,1,0,3,3,6,2,4,0,3,3,10,10.9,-14
76,66,4/1/2024,24-350,BRK,@,IND,L (-22),1,25:47:00,3,4,0.75,0,0,,1,4,0.25,1,10,11,0,0,1,2,2,7,5.8,-17
77,67,4/3/2024,24-352,BRK,,IND,W (+4),1,31:20:00,7,10,0.7,0,0,,0,2,0,4,9,13,2,0,4,3,2,14,14.9,18
78,68,4/6/2024,24-355,BRK,,DET,W (+10),1,30:25:00,2,4,0.5,0,0,,1,2,0.5,0,9,9,3,0,3,1,1,5,8.1,20
79,,4/7/2024,24-356,BRK,,SAC,L (-30),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
80,69,4/10/2024,24-359,BRK,,TOR,W (+4),1,32:46:00,6,7,0.857,0,0,,2,4,0.5,2,9,11,4,0,5,3,1,14,17.7,-7
81,70,4/12/2024,24-361,BRK,@,NYK,L (-4),1,35:42:00,4,8,0.5,0,0,,1,4,0.25,5,7,12,3,0,2,1,3,9,10.7,-3
82,71,4/14/2024,24-363,BRK,@,PHI,L (-21),1,20:17,3,6,0.5,0,0,,0,0,,1,7,8,1,0,0,3,3,6,2.3,-8
